报告日期,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,1991-12-31,1990-12-31,1989-12-31,
基本每股收益(元),0.8,0.42,1.4,1.11,0.66,0.4,1.54,1.32,0.85,0.38,1.39,1.14,0.73,0.33,1.3,1.06,0.68,0.31,--,1.09,0.72,0.35,1.56,1.27,0.84,0.41,1.73,1.37,0.88,0.53,1.86,1.43,0.92,0.7,2.62,2,1.32,0.67,2.47,2.01,1.36,0.69,1.91,1.46,0.98,0.51,1.62,1.17,0.74,0.36,0.2,1.42,0.93,0.44,1.27,0.9,0.54,0.27,0.67,--,0.24,--,0.18,--,--,0.08,0.15,--,--,--,0.16,--,0.14,--,0.2,--,0.16,--,0.21,--,0.12,--,--,--,--,--,--,0.24,--,0.43,0.76,0.35,--,0.5,--,--,--,--,--,--,--,--,--,
每股净资产(元),15.83,15.6,15.16,14.88,14.5,14.55,14.07,13.82,13.78,13.45,12.82,12.54,12.13,11.85,11.77,11.54,11.15,10.94,10.61,--,--,--,11.29,10.98,10.54,9.97,11.46,11.09,10.59,12.32,11.77,11.58,11.17,17.33,16.55,15.95,15.58,14.99,14.31,13.61,10.95,10.32,9.62,9.22,8.73,7.12,6.59,6.15,5.79,5.5,5.28,7.69,7.09,6.12,5.67,4.01,3.69,3.65,3.33,3.11,2.87,2.71,2.59,2.58,2.51,2.49,2.41,2.25,2.18,2.15,2.04,2.05,2.23,2.02,1.94,2.09,2.03,--,1.86,--,2.55,--,2.44,1.98,1.87,2.52,2.37,2.43,2.19,2.88,2.45,2.24,3.78,4.32,3.84,5.62,4.47,0,4.05,0,6.41,2.63,3.27,
每股经营活动产生的现金流量净额(元),-5.98,-0.6,-0.83,1.58,-1.32,0.93,-2.06,4.35,1.54,3.1,-3.34,-0.66,0.43,2.41,-6.92,-9.2,-7.47,-6.7,--,--,-1.93,3.45,-0.13,6.43,12.76,0.84,2.22,-0.45,4.68,6.31,9.63,12.3,3.51,2.76,36.27,16.16,28.11,15,-2.82,3.49,9.06,6.13,6.24,3.04,-0.98,2.77,10.37,-0.08,1.24,0.87,7.84,16.55,3.89,1.67,7.44,9.86,6.31,1.91,3.81,--,--,--,-2.2,--,--,--,3.62,0,--,0,-0.86,--,0,--,4.39,0,-5.33,--,7.52,--,0.63,--,0.82,0.11,3.01,0.27,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,--,0,
主营业务收入(万元),8468000,4178800,15354200,11656400,7832800,3792600,13795800,10295800,6782900,3247600,11671600,8666400,5724100,2802600,10578600,7983300,5407300,2771200,--,8196800,5476900,2753200,9616300,7115200,4657500,2067100,7340700,5465100,3473300,1610000,5218900,3734500,2342600,1080200,3974865,2953167,1962553,972388,2964306,2070140,1214059,581504,1802228,1315964,849611,408425,1511444,1111395,749085,376060,1451312,1074141,711525,355327,1080750,776719,489072,235213,713522,507700,311819,245232,851562,634968,419908,197607,832301,608560,408261,191344,599281,414054,282231,135252,551912,394244,241276,109548,432894,258020,176924,72501,278916,95303,234927,113470,280353,129442,279526,131401,261026,114494,210529,84250,139028,48449,61885,26650,47551,20525,33469,0,0,
主营业务利润(万元),2241500,1292900,3690900,2892300,1765900,1099800,3628900,3071300,2003700,966700,3230500,2661400,1740200,858400,3022300,2500000,1646800,822800,--,2454500,1615600,801400,2889500,2330500,1526700,744700,2624600,2077100,1334500,671200,1995500,1530700,989400,471700,1754166,1336008,883690,446501,3591613,2581524,1548902,771823,2235415,1643347,1060715,532070,1807437,1331843,876271,455352,1224965,1298377,857538,423906,1455724,1061111,676013,326735,925994,655733,397576,191444,686260,527910,350610,171433,726946,196374,358110,70381,497263,120794,88383,134105,456628,122817,199354,111750,245027,74313,102862,21163,183536,5002,150377,18276,66576,94986,153025,76697,250141,81039,49190,67140,35303,20271,29515,0,22090,0,14646,0,0,
营业利润(万元),2241500,1292900,3690900,2892300,1765900,1099800,3628900,3071300,2003700,966700,3230500,2661400,1740200,858400,3022300,2500000,1646800,822800,--,2454500,1615600,801400,2889500,2330500,1526700,744700,2624600,2077100,1334500,671200,1995500,1530700,989400,471700,1754166,1336008,883690,446501,1313270,981886,604989,305996,784956,591950,380483,199515,615913,452645,292153,151363,80343,436420,284100,137635,372194,277643,168178,81802,190517,237330,138726,80654,289446,234041,156330,80371,279050,196374,139266,70381,168748,120794,88383,39028,190490,122817,89012,39818,56175,74313,26757,21163,55363,3957,37324,17013,66576,36454,67826,36950,81139,39324,49190,23777,35303,20271,29515,0,22090,0,14646,0,0,
投资收益(万元),596300,275700,992100,830300,802500,380200,971000,771700,493800,257100,918600,709900,118700,41600,63200,64400,73900,61100,--,246600,160800,82400,392400,308100,210400,46400,316800,330500,217300,218500,34700,89800,51000,24000,62319,59735,45188,21456,28475,27721,35246,12452,22853,31357,17238,5855,58029,55667,50754,18593,42156,7685,1149,231,20098,20349,6585,5363,11056,6367,3516,17631,82454,63520,41939,19930,70206,51324,35239,15638,63926,47645,31807,13709,63121,42325,33539,11842,44249,22238,19905,2707,35670,16102,23313,10885,18483,7073,31129,17175,11721,3868,1930,1879,6312,244,712,0,485,0,372,0,0,
营业外收支净额(万元),-7400,-5500,-15500,-9700,-7200,-4000,-4900,-3700,-3400,400,-7400,-4800,-3500,-1700,-6600,-6100,-3600,200,--,1500,-200,1500,-4900,-1900,-800,-1000,-5200,-2300,-1700,-1500,8500,7800,1200,100,926,5203,4175,1234,12479,10558,1595,914,14847,9435,6692,187,3141,1419,795,349,-1082,-4954,-1533,275,4983,656,815,272,8935,6822,5043,-73,-3614,-1139,-2115,81,-732,265,-170,-42,-1459,-459,-65,569,-1272,91,-559,-12,-279,-189,-313,-227,-686,-14,-119,-42,645,61,-150,-513,293,162,0,111,0,0,0,0,0,0,0,0,0,
利润总额(万元),2234100,1287400,3675400,2882600,1758700,1095800,3624000,3067600,2000300,967100,3223100,2656600,1736700,856700,3015700,2493900,1643200,823000,--,2456000,1615400,802900,2884600,2328600,1525900,743700,2619400,2074800,1332800,669700,2004000,1538500,990600,471800,1755092,1341211,887865,447735,1325749,992444,606585,306910,799802,601385,387175,199702,619054,454064,292948,151712,79261,431467,282567,137911,377178,278299,168992,82127,199452,144838,76019,34680,63862,61016,37012,26583,49119,49161,34505,21506,35395,42105,34437,16366,63655,54875,38605,22569,55896,40745,26443,15951,54677,20045,60518,27647,85704,43587,100243,52402,91970,42735,50688,25461,41442,20534,30227,16173,22574,9890,15018,10129,6748,
净利润(万元),1758300,1013200,2892800,2239800,1367800,854800,2819500,2362100,1540300,744600,2481800,2045600,1337200,659500,2318900,1915300,1255400,621400,--,1871900,1229200,608600,2186500,1774000,1158500,562900,1980200,1569400,1007200,505400,1523100,1169600,753100,358900,1340270,1023789,676149,342895,1027863,768718,473175,240220,628382,473394,303312,157812,503073,363742,231139,112208,61404,331699,214383,100418,264990,187362,112398,53508,130291,89030,46362,22053,35173,36642,20749,15413,28977,40704,28572,21437,31655,31495,27034,15331,43222,41964,31414,18395,40236,36508,22321,13883,50655,17795,55519,24092,76434,37801,86232,44374,78748,36423,43513,21650,35633,20791,27331,13747,17211,8407,11265,7088,4302,
